tissueId, geneId, level, confidence, cellType 
rectum,IL1R1,Low,Approved,glandular_cells
skeletal_muscle,IL1R1,Low,Approved,myocytes
small_intestine,IL1R1,Medium,Approved,glandular_cells
soft_tissue_1,IL1R1,Low,Approved,fibroblasts
soft_tissue_2,IL1R1,Low,Approved,adipocytes
soft_tissue_2,IL1R1,Low,Approved,peripheral_nerve
stomach_1,IL1R1,Low,Approved,glandular_cells
testis,IL1R1,Low,Approved,cells_in_seminiferous_ducts
testis,IL1R1,Medium,Approved,Leydig_cells
urinary_bladder,IL1R1,Low,Approved,urothelial_cells
adrenal_gland,TAB1,Medium,Approved,glandular_cells
appendix,TAB1,Medium,Approved,glandular_cells
appendix,TAB1,Low,Approved,lymphoid_tissue
bone_marrow,TAB1,Medium,Approved,hematopoietic_cells
breast,TAB1,Medium,Approved,glandular_cells
breast,TAB1,Low,Approved,myoepithelial_cells
bronchus,TAB1,Low,Approved,respiratory_epithelial_cells
